startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate,cuberoot_peak,quantile_early,sqrt_spatial,cuberoot_turnover,orig_weekend,boxcox_trips,quantile_peak,has_early_peak,log_trips,arcsine_early,log_turnover,log_spatial,avg_daily_trips_t,turnover_rate_t,early_zero_t,spatial_density_t,early_normalized,orig_early,scaled_log_trips,scaled_log_turnover,scaled_log_spatial,scaled_early_normalized,scaled_peak_hour_departure_ratio,scaled_weekend_usage_ratio,scaled_avg_daily_trips_t,scaled_turnover_rate_t,scaled_early_normalized,scaled_peak_hour_departure_ratio,scaled_weekend_usage_ratio,scaled_spatial_density_t,cluster
"Albany Street, The Regent's Park",12088,33.02732240437158,0.4671390429246251,0.2754158964879852,BikePoints_540,51.528302,-0.144466,27.0,0.1679389312977099,1,1.223234163124873,0.7759172174311808,-1.3843645715200903,1.0,1.0694731045257724,0.2754158964879852,0.3866517662691118,0.46851385390428213,1,3.5271638020310307,0.42223866263608095,0.7989629659729603,0.6931471805599453,3.5271638020310307,0.7989629659729603,0.42223866263608095,0.6931471805599453,-1.380945893564284,0.1679389312977099,0.4447137839729644,0.18478144113189707,-2.195990264077347,-1.4135239059550098,-0.0556629712381772,0.5744062516708828,0.4447137839729644,0.18478144113189707,-1.4135239059550098,-0.0556629712381772,0.5744062516708828,-2.195990264077347,0
"Albert Bridge Road, Battersea Park",12156,33.21311475409836,0.5290615539858728,0.2789101917255298,BikePoints_710,51.474392,-0.163347,20.0,0.1755725190839694,5,1.6606557377049185,0.8087893074856026,-0.5088872830965829,2.23606797749979,1.1842040356557582,0.2789101917255298,0.39720806656188623,0.8463476070528967,1,3.5326090429038897,0.43235884027381555,0.9785726103472344,1.791759469228055,3.5326090429038897,0.9785726103472344,0.43235884027381555,1.791759469228055,-0.5081890708286068,0.1755725190839694,0.454550873068922,0.7863801070910836,-0.12353540830570439,-0.5246007618407192,0.9237327837807175,0.6318765141270748,0.454550873068922,0.7863801070910836,-0.5246007618407192,0.9237327837807175,0.6318765141270748,-0.12353540830570439,0
"Albert Embankment, Vauxhall",6316,17.256830601092897,0.4936524453694069,0.2093652445369407,BikePoints_869,51.490435,-0.122806,24.0,0.4312977099236641,6,0.7190346083788707,0.7903275068772577,1.510239324505761,2.449489742783178,0.8958801858263818,0.2093652445369407,-0.7198447574426617,0.6612090680100755,1,2.9045392895153355,0.7164778322954014,0.5417628590537038,1.9459101490553132,2.9045392895153355,0.5417628590537038,0.7164778322954014,1.9459101490553132,1.501085946044025,0.4312977099236641,-0.6800872938769383,-0.6767048211801251,0.16725901318743908,1.5218926242438122,0.3636855558240202,-0.5119210461039096,-0.6800872938769383,-0.6767048211801251,1.5218926242438122,0.3636855558240202,-0.5119210461039096,0.16725901318743908,1
"Albert Gardens, Stepney",9837,26.87704918032787,0.443236409608091,0.2771175726927939,BikePoints_483,51.51328,-0.047784,33.0,0.1679389312977099,4,0.8144560357675112,0.7624507736286281,-1.3843645715200903,2.0,0.9338760019560916,0.2771175726927939,0.01122309303237021,0.33879093198992444,1,3.327803740273939,0.42223866263608095,0.5957857179850631,1.6094379124341003,3.327803740273939,0.5957857179850631,0.42223866263608095,1.6094379124341003,-1.380945893564284,0.1679389312977099,0.08456025991949663,-0.49575640954203526,-0.46747220892857283,-1.4135239059550098,-0.43371833757872574,0.6023935199059888,0.08456025991949663,-0.49575640954203526,-1.4135239059550098,-0.43371833757872574,0.6023935199059888,-0.46747220892857283,0
"Albert Gate, Hyde Park",40740,111.31147540983606,0.3437398585058739,0.3659375608489648,BikePoints_303,51.502953,-0.158456,34.0,0.2099236641221374,5,3.273866923818708,0.700502943659029,0.5561831713794523,2.23606797749979,1.4848651260499248,0.3659375608489648,3.155776984124051,0.0163727959697733,1,4.721276041829587,0.475940104056669,1.4525190201975926,1.791759469228055,4.721276041829587,1.4525190201975926,0.475940104056669,1.791759469228055,0.557247279730606,0.2099236641221374,2.601934881761529,2.373853479667732,-0.12353540830570439,0.5605709674665017,-2.0074029010510848,2.0632054100535218,2.601934881761529,2.373853479667732,0.5605709674665017,-2.0074029010510848,2.0632054100535218,-0.12353540830570439,0
"Albert Square, Stockwell",11198,30.595628415300546,0.525692582663092,0.2498882931188561,BikePoints_802,51.47659,-0.118256,32.0,0.1679389312977099,3,0.956113387978142,0.8070689076769961,-1.3843645715200903,1.7320508075688772,0.985151749998445,0.2498882931188561,0.2445344928922427,0.8324937027707808,1,3.45301876973487,0.42223866263608095,0.6709595392464484,1.3862943611198906,3.45301876973487,0.6709595392464484,0.42223866263608095,1.3862943611198906,-1.380945893564284,0.1679389312977099,0.31076722297592224,-0.24396330153017326,-0.8884168326373744,-1.4135239059550098,0.870447538144469,0.15455676392916237,0.31076722297592224,-0.24396330153017326,-1.4135239059550098,0.870447538144469,0.15455676392916237,-0.8884168326373744,0
"Albert Street, Camden Town",348,0.9508196721311476,0.3879310344827586,0.2126436781609195,BikePoints_456,51.537706,-0.144801,26.0,0.9198473282442748,7,0.0365699873896595,0.729320086569646,2.8046078291033716,2.6457513110645907,0.33192625312458673,0.2126436781609195,-3.6757580454154963,0.06297229219143577,1,0.6682496289382182,1.283758519254567,0.03591717342133191,2.0794415416798357,0.6682496289382182,0.03591717342133191,1.283758519254567,2.0794415416798357,2.732303990659007,0.9198473282442748,-4.7200519435795565,-2.371024136369599,0.4191565988025986,2.7759168687966,-1.3084543374464075,-0.4580010341968266,-4.7200519435795565,-2.371024136369599,2.7759168687966,-1.3084543374464075,-0.4580010341968266,0.4191565988025986,1
"Alderney Street, Pimlico",14499,39.614754098360656,0.4415994679524482,0.2810707456978967,BikePoints_185,51.488057,-0.140741,14.0,0.1717557251908397,7,2.829625292740047,0.7615109989577334,-0.8818947005451624,2.6457513110645907,1.414413228847397,0.2810707456978967,0.7383274931192894,0.3350125944584383,1,3.704131402030832,0.4273210360919361,1.3427669636126975,2.0794415416798357,3.704131402030832,1.3427669636126975,0.4273210360919361,2.0794415416798357,-0.8781280840352094,0.1717557251908397,0.7644142506635834,2.0062413113024173,0.4191565988025986,-0.9013922599803399,-0.4596089818900399,0.6674108909904183,0.7644142506635834,2.0062413113024173,-0.9013922599803399,-0.4596089818900399,0.6674108909904183,0.4191565988025986,0
"Aldersgate Street, Barbican",19843,54.21584699453552,0.4933349790175265,0.1892742532707973,BikePoints_95,51.520841,-0.09734,15.0,0.1641221374045801,8,3.614389799635701,0.7901580514929915,-5.199337582605575,2.8284271247461903,1.5346581943105722,0.1892742532707973,1.3932307401635236,0.6586901763224181,1,4.0112499953168825,0.41710997605019806,1.5291796381154794,2.1972245773362196,4.0112499953168825,1.5291796381154794,0.41710997605019806,2.1972245773362196,-2.0642532537328497,0.1641221374045801,1.3192387360667137,2.630626581310894,0.6413460160259661,-2.1094883615447615,0.35866435768356586,-0.8423552145348748,1.3192387360667137,2.630626581310894,-2.1094883615447615,0.35866435768356586,-0.8423552145348748,0.6413460160259661,0
"Alfreda Street, Battersea Park",9472,25.879781420765028,0.4733712171269988,0.2756706753006475,BikePoints_726,51.47505,-0.150908,22.0,0.1755725190839694,4,1.176353700943865,0.7793525292721382,-0.5088872830965829,2.0,1.0556322291644367,0.2756706753006475,-0.05512149982253801,0.517632241813602,1,3.2913743839539187,0.43235884027381555,0.777650862174107,1.6094379124341003,3.2913743839539187,0.777650862174107,0.43235884027381555,1.6094379124341003,-0.5081890708286068,0.1755725190839694,0.018748878532381778,0.11339700485153467,-0.46747220892857283,-0.5246007618407192,0.04290804685742011,0.578596568812564,0.018748878532381778,0.11339700485153467,-0.5246007618407192,0.04290804685742011,0.578596568812564,-0.46747220892857283,0
