startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate
"Alpha Grove, Millwall",4195,11.46174863387978,0.4829712272460364,0.266001174398121,BikePoints_576,51.497304,-0.022793,23.0,0.183206106870229,2,0.4983368971252078
"Ampton Street , Clerkenwell",8206,22.420765027322403,0.4298887587822014,0.2365339578454332,BikePoints_26,51.52728,-0.118295,21.0,0.183206106870229,12,1.067655477491543
"Ansell House, Stepney",12203,33.34153005464481,0.4245537049965094,0.2691732322728632,BikePoints_500,51.520019,-0.05438,41.0,0.1717557251908397,4,0.813208050113288
"Antill Road, Mile End",7771,21.23224043715847,0.4818677792041078,0.2830551989730424,BikePoints_518,51.528224,-0.037471,30.0,0.183206106870229,3,0.7077413479052823
"Archbishop's Park, Waterloo",6814,18.61748633879781,0.4742713206189277,0.2128463476070529,BikePoints_641,51.498241,-0.117495,23.0,0.2557251908396946,6,0.8094559277738178
"Argyle Street, Kings Cross",36974,101.02185792349728,0.6337341459397134,0.1479822105089771,BikePoints_14,51.529416,-0.123944,45.0,0.1641221374045801,8,2.2449301760777174
"Argyll Road, Kensington",6784,18.53551912568306,0.4207238655153408,0.2717251515708249,BikePoints_168,51.500401,-0.195455,19.0,0.2251908396946564,8,0.9755536381938452
"Arlington Road, Camden Town",7220,19.72677595628416,0.4376409366869037,0.2718126626192541,BikePoints_545,51.539957,-0.145246,24.0,0.1984732824427481,8,0.8219489981785068
"Arundel Street, Temple",7093,19.379781420765028,0.4106188588174452,0.1418720910187898,BikePoints_79,51.511726,-0.113855,18.0,0.4503816793893129,14,1.076654523375835
"Ashley Crescent, Battersea",10979,29.99726775956284,0.5836406302380154,0.2163370208961895,BikePoints_670,51.467185,-0.152248,28.0,0.1717557251908397,4,1.0713309914129585
"Ashley Place, Victoria",10978,29.994535519125684,0.482081053924305,0.1942614714748241,BikePoints_177,51.49616,-0.140947,25.0,0.1908396946564885,13,1.1997814207650273
"Ashmole Estate, Oval",9459,25.84426229508197,0.5520279901516133,0.2438771543345859,BikePoints_654,51.482678,-0.117661,34.0,0.1641221374045801,3,0.7601253616200578
"Aston Street, Stepney",8815,24.08469945355192,0.516060563180982,0.2661666902504598,BikePoints_461,51.516,-0.038775,26.0,0.1717557251908397,4,0.9263345943673816
"Austin Road, Battersea Park",10427,28.489071038251367,0.5227140699430696,0.2184268618566283,BikePoints_664,51.474376,-0.155442,24.0,0.1679389312977099,4,1.187044626593807
"Aylward Street, Stepney",6489,17.729508196721312,0.4963531669865643,0.2715930902111324,BikePoints_715,51.51563,-0.049067,22.0,0.1870229007633587,5,0.805886736214605
"BBC White City, White City",10496,28.6775956284153,0.548695246971109,0.1403774464119291,BikePoints_601,51.514767,-0.225787,36.0,0.183206106870229,1,0.7965998785670917
"Baker Street, Marylebone",12457,34.03551912568306,0.52689559348948,0.1504565303691941,BikePoints_121,51.518913,-0.156166,22.0,0.1984732824427481,8,1.547069051167412
"Baldwin Street, St. Luke's",13034,35.612021857923494,0.4820024058480614,0.201443508836865,BikePoints_319,51.527025,-0.088542,21.0,0.1793893129770992,8,1.6958105646630235
"Bancroft Road, Bethnal Green",9523,26.01912568306011,0.4878857434327978,0.2255802091303239,BikePoints_520,51.526041,-0.047218,21.0,0.1717557251908397,2,1.2390059849076245
"Bank of England Museum, Bank",14065,38.42896174863388,0.5368870307464506,0.1266440205557007,BikePoints_340,51.514441,-0.087587,16.0,0.2061068702290076,8,2.4018101092896176
"Bankside Mix, Bankside",11821,32.29781420765028,0.5111720067453626,0.2019392917369308,BikePoints_193,51.505817,-0.100186,60.0,0.1946564885496183,11,0.538296903460838
"Barbican Centre, Barbican",11131,30.41256830601093,0.4063818280151433,0.2220659816116819,BikePoints_275,51.520044,-0.092176,19.0,0.2557251908396946,11,1.6006614897900489
"Barons Court Station, West Kensington",13554,37.03278688524591,0.3932905067808708,0.2259992862241256,BikePoints_707,51.490217,-0.215087,32.0,0.183206106870229,7,1.1572745901639347
"Bath Street, St. Luke's",12666,34.60655737704918,0.4742046832726933,0.2032838884224274,BikePoints_119,51.525893,-0.090847,18.0,0.4274809160305343,7,1.9225865209471769
"Battersea Church Road, Battersea",12318,33.65573770491803,0.5352010751576554,0.2535924738964127,BikePoints_700,51.476964,-0.174347,25.0,0.1717557251908397,4,1.3462295081967213
"Battersea Park Road, Nine Elms",30698,83.8743169398907,0.4276845913501069,0.2919750041111659,BikePoints_631,51.479501,-0.14177,27.0,0.1755725190839694,2,3.106456182958915
"Battersea Power Station, Battersea Park",28486,77.83060109289617,0.3733554847110592,0.3676979031026895,BikePoints_821,51.483507,-0.147714,27.0,0.1717557251908397,3,2.882614855292451
"Baylis Road, Waterloo",24179,66.06284153005464,0.4798105809868119,0.2161006161209837,BikePoints_272,51.501444,-0.110699,22.0,0.183206106870229,12,3.0028564331843017
"Bayswater Road, Hyde Park",22721,62.0792349726776,0.413798910907764,0.3312749115814293,BikePoints_153,51.511933,-0.174411,27.0,0.1641221374045801,3,2.299230924913985
"Beaumont Street, Marylebone",11878,32.45355191256831,0.4521684996887321,0.1980701390329944,BikePoints_242,51.522008,-0.151359,23.0,0.1908396946564885,7,1.4110239961986222
"Bedford Way, Bloomsbury",7868,21.49726775956284,0.410969196093163,0.1801652892561983,BikePoints_287,51.523673,-0.128377,23.0,0.2595419847328244,9,0.9346638156331668
"Belford House, Haggerston",3583,9.789617486338798,0.4828660436137071,0.2831775700934579,BikePoints_699,51.536654,-0.07023,39.0,0.2175572519083969,6,0.2510158329830461
"Belgrave Road, Victoria",11005,30.06830601092896,0.5242231874373539,0.1832052567101013,BikePoints_268,51.493204,-0.144132,29.0,0.1793893129770992,10,1.0368381383078953
"Belgrave Square, Belgravia",7336,20.04371584699453,0.4743653558984569,0.1791936286709806,BikePoints_181,51.499412,-0.152317,21.0,0.232824427480916,6,0.954462659380692
"Bell Lane, Liverpool Street",14451,39.48360655737705,0.4243551797040169,0.2023678646934461,BikePoints_506,51.517475,-0.075855,23.0,0.1755725190839694,11,1.7166785459729152
"Bell Street , Marylebone",11008,30.07650273224044,0.5892798421571851,0.1742847747451496,BikePoints_182,51.522029,-0.165842,18.0,0.1717557251908397,8,1.670916818457802
"Belvedere Road 1, South Bank",12446,34.00546448087432,0.5527950310559007,0.1888809693513898,BikePoints_273,51.506133,-0.114686,38.0,0.1717557251908397,10,0.8948806442335349
"Belvedere Road 2, South Bank",8573,23.42349726775956,0.4660108647775657,0.2431361033622082,BikePoints_819,51.50621,-0.114842,38.0,0.2290076335877862,10,0.6164078228357779
"Bermondsey Station, Bermondsey",9425,25.75136612021858,0.4528078038491959,0.2726074347482204,BikePoints_845,51.497995,-0.063471,30.0,0.183206106870229,2,0.8583788706739527
"Bermondsey Street, Bermondsey",16027,43.7896174863388,0.4843473578955465,0.2456734097377124,BikePoints_321,51.497855,-0.081608,24.0,0.1679389312977099,6,1.8245673952641168
"Berry Street, Clerkenwell",13467,36.79508196721312,0.5240534113773551,0.1402963233949149,BikePoints_246,51.522853,-0.099994,41.0,0.1870229007633587,7,0.897441023590564
"Beryl Road, Hammersmith",8983,24.54371584699453,0.3993744900734294,0.2287190644547185,BikePoints_686,51.488144,-0.222456,26.0,0.1908396946564885,3,0.9439890710382512
"Bethnal Green Garden, Bethnal Green",7726,21.10928961748634,0.3922777417261519,0.2853666450356911,BikePoints_444,51.52568,-0.055312,24.0,0.2061068702290076,6,0.8795537340619308
"Bethnal Green Road, Shoreditch",25781,70.43989071038251,0.3958743103861837,0.2740225473734708,BikePoints_132,51.523648,-0.074754,38.0,0.1679389312977099,10,1.8536813344837504
"Bevington Road West, North Kensington",9218,25.18579234972677,0.427850938638274,0.3072289156626506,BikePoints_807,51.5212,-0.208888,24.0,0.1755725190839694,1,1.0494080145719489
"Binfield Road, Stockwell",13173,35.99180327868852,0.4019386410690758,0.2609636740071522,BikePoints_772,51.472509,-0.122831,35.0,0.1679389312977099,4,1.0283372365339578
"Birkenhead Street, King's Cross",16288,44.50273224043716,0.4523809523809524,0.2284812978819288,BikePoints_798,51.530199,-0.122299,27.0,0.1641221374045801,12,1.6482493422384137
"Bishop's Avenue, Fulham",7867,21.494535519125684,0.4569685292228644,0.3755619781631342,BikePoints_681,51.473036,-0.214749,46.0,0.2213740458015267,2,0.467272511285341
"Bishop's Bridge Road East, Bayswater",5406,14.770491803278688,0.4548279158699809,0.2344646271510516,BikePoints_592,51.5171,-0.18377,20.0,0.2137404580152671,7,0.7385245901639343
"Bishop's Bridge Road West, Bayswater",16908,46.19672131147541,0.4399240376889927,0.2815718355123804,BikePoints_568,51.51616,-0.18697,18.0,0.1679389312977099,7,2.5664845173041893
"Black Lion Gate, Kensington Gardens",35963,98.25956284153006,0.3947397625124847,0.3920023674767876,BikePoints_307,51.509908,-0.187842,24.0,0.1641221374045801,4,4.094148451730419
"Black Prince Road, Vauxhall",10897,29.77322404371585,0.4680426098535286,0.2350199733688415,BikePoints_310,51.490867,-0.116911,19.0,0.1717557251908397,8,1.5670117917745183
"Blackfriars Road, Southwark",11092,30.306010928961747,0.4941756272401433,0.1825716845878136,BikePoints_792,51.505461,-0.10454,42.0,0.2022900763358778,11,0.7215716887848035
"Blackfriars Station, St. Paul's",21081,57.59836065573771,0.5739089629282027,0.1383153449084936,BikePoints_659,51.511934,-0.103078,35.0,0.1908396946564885,6,1.6456674473067916
"Blenheim Crescent, Ladbroke Grove",8891,24.29234972677596,0.484421260397575,0.3022698435076836,BikePoints_742,51.515108,-0.208565,22.0,0.1717557251908397,5,1.1041977148534527
